timestamp,account,label,symbol,side,qty,entry,exit,exit_reason,pnl_r,pnl_usd,mae,mfe
2026-07-30T03:54:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5337,5336.66,ADVERSE_TAPE,-0.34,-13.94,2.44,1.76
2026-07-30T04:46:00Z,APX-4417K2,Apex,MES,LONG,2,5352,5352.52,ADVERSE_TAPE,0.52,32.5,0.58,3.85
2026-07-30T04:56:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5301,5300.78,ADVERSE_TAPE,-0.22,-9.02,4.44,0.54
2026-07-30T05:03:00Z,APX-4417K2,Apex,MES,SHORT,1,5327,5326.03,TARGET,0.97,60.63,1,5.02
2026-07-30T05:30:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5320,5320.39,ZONE_INVALID,-0.39,-15.99,5.25,1
2026-07-30T05:32:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5325,5324.31,ZONE_INVALID,-0.69,-28.29,3.17,1.43
2026-07-30T05:36:00Z,APX-4417K2,Apex,MES,LONG,2,5343,5342.15,STOP,-0.85,-53.13,5.36,3.34
2026-07-30T05:42:00Z,APX-4417K2,Apex,MES,SHORT,2,5319,5319.14,ADVERSE_TAPE,-0.14,-8.75,6.95,2.82
2026-07-30T05:45:00Z,APX-4417K2,Apex,MES,LONG,3,5332,5331.65,STOP,-0.35,-21.88,5.84,3.27
2026-07-30T05:59:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5309,5309.72,ZONE_INVALID,-0.72,-29.52,2.25,2.35
2026-07-30T06:32:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5304,5304.64,STOP,-0.64,-26.24,2.13,1.87
2026-07-30T06:42:00Z,APX-4417K2,Apex,MES,SHORT,2,5327,5327.4,STOP,-0.4,-25,2.34,4.42
2026-07-30T06:49:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,2,5324,5321.86,TARGET,2.14,87.74,0.46,7.31
2026-07-30T07:16:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5353,5352.23,TARGET,0.77,31.57,2.52,4.9
2026-07-30T08:50:00Z,APX-4417K2,Apex,MES,SHORT,3,5302,5300.46,TARGET,1.54,96.25,1.58,5.79
2026-07-30T10:40:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5335,5334.67,ADVERSE_TAPE,-0.33,-13.53,2.62,1.04
2026-07-30T10:48:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5333,5333.76,STOP,-0.76,-31.16,5.26,4.33
2026-07-30T11:36:00Z,APX-4417K2,Apex,MES,SHORT,1,5357,5355.33,TARGET,1.67,104.38,0.47,7.13
2026-07-30T11:49:00Z,APX-4417K2,Apex,MES,SHORT,3,5353,5352.31,TARGET,0.69,43.13,1.79,3.67
2026-07-31T03:09:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5301,5301.17,ADVERSE_TAPE,-0.17,-6.97,2.93,3.16
2026-07-31T03:24:00Z,APX-4417K2,Apex,MES,LONG,2,5318,5317.42,STOP,-0.58,-36.25,4.07,2.39
2026-07-31T04:15:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5320,5318.72,TARGET,1.28,52.48,0.89,5.05
2026-07-31T04:44:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,2,5302,5301.88,ADVERSE_TAPE,-0.12,-4.92,3.77,2.32
2026-07-31T05:58:00Z,APX-4417K2,Apex,MES,LONG,3,5314,5313.79,ADVERSE_TAPE,-0.21,-13.13,6.22,1.16
2026-07-31T06:15:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5358,5358.17,ADVERSE_TAPE,-0.17,-6.97,2.67,3.76
2026-07-31T06:38:00Z,APX-4417K2,Apex,MES,LONG,3,5352,5354.63,TARGET,2.63,164.38,0.64,9.18
2026-07-31T06:41:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5350,5349.12,TARGET,0.88,36.08,2.27,3.16
2026-07-31T08:05:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5358,5358.81,STOP,-0.81,-33.21,2.2,2.24
2026-07-31T08:19:00Z,APX-4417K2,Apex,MES,SHORT,2,5355,5354.17,TARGET,0.83,51.88,2.42,1.82
2026-07-31T08:25:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5337,5337.46,ADVERSE_TAPE,-0.46,-18.86,6.87,1.94
2026-07-31T08:37:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5312,5312.75,ZONE_INVALID,-0.75,-30.75,2.95,4.02
2026-07-31T08:42:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5331,5332.08,STOP,-1.08,-44.28,5.71,3.38
2026-07-31T09:34:00Z,APX-4417K2,Apex,MES,LONG,2,5314,5313.52,ADVERSE_TAPE,-0.48,-30,5.36,1.48
2026-07-31T10:03:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,2,5306,5304.31,TARGET,1.69,69.29,2.02,6.31
2026-07-31T10:26:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,2,5343,5341.41,TARGET,1.59,65.19,0.81,5.75
2026-07-31T11:29:00Z,APX-4417K2,Apex,MES,LONG,3,5351,5353.45,TARGET,2.45,153.13,1.99,8.55
2026-08-01T03:10:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5350,5350.84,STOP,-0.84,-34.44,5.84,4.5
2026-08-01T03:21:00Z,APX-4417K2,Apex,MES,SHORT,3,5357,5355.57,TARGET,1.43,89.38,1.78,6.83
2026-08-01T03:33:00Z,APX-4417K2,Apex,MES,SHORT,1,5303,5302.41,TARGET,0.59,36.88,1.99,1.29
2026-08-01T04:11:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5304,5302.31,TARGET,1.69,69.29,1.56,5.12
2026-08-01T05:41:00Z,APX-4417K2,Apex,MES,SHORT,3,5349,5347.92,ADVERSE_TAPE,1.08,67.5,2.67,3.29
2026-08-01T06:30:00Z,APX-4417K2,Apex,MES,SHORT,1,5319,5319.42,ADVERSE_TAPE,-0.42,-26.25,4.51,4.46
2026-08-01T07:01:00Z,APX-4417K2,Apex,MES,LONG,2,5353,5354.88,TARGET,1.88,117.5,1.54,4.82
2026-08-01T07:10:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5351,5349.91,STOP,-1.09,-44.69,4.85,3.87
2026-08-01T07:27:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5346,5343.03,TARGET,2.97,121.77,1.12,9.48
2026-08-01T07:34:00Z,APX-4417K2,Apex,MES,SHORT,3,5345,5342.74,TARGET,2.26,141.25,2.28,6.74
2026-08-01T07:53:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,2,5345,5345.43,ADVERSE_TAPE,-0.43,-17.63,4.73,3.44
2026-08-01T08:13:00Z,APX-4417K2,Apex,MES,SHORT,1,5351,5351.46,STOP,-0.46,-28.75,4.07,4.78
2026-08-01T08:25:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5356,5357.24,TARGET,1.24,50.84,2.77,5.26
2026-08-01T08:52:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5351,5350.59,ADVERSE_TAPE,-0.41,-16.81,2.59,2.48
2026-08-01T08:53:00Z,APX-4417K2,Apex,MES,LONG,1,5308,5307.81,ADVERSE_TAPE,-0.19,-11.88,6.12,2.87
2026-08-01T09:28:00Z,APX-4417K2,Apex,MES,SHORT,3,5326,5323.61,TARGET,2.39,149.38,1.32,5.92
2026-08-01T09:47:00Z,APX-4417K2,Apex,MES,SHORT,3,5339,5339.38,ADVERSE_TAPE,-0.38,-23.75,5.77,4.57
2026-08-01T10:40:00Z,APX-4417K2,Apex,MES,SHORT,2,5308,5308.5,ADVERSE_TAPE,-0.5,-31.25,5.5,2.86
2026-08-01T10:51:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5304,5305.51,TARGET,1.51,61.91,2.33,4.9
2026-08-01T11:00:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,3,5352,5350.96,STOP,-1.04,-42.64,4.83,3.48
2026-08-01T11:10:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5316,5316.45,STOP,-0.45,-18.45,2.81,4.58
2026-08-01T11:23:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5306,5304.62,TARGET,1.38,56.58,1.9,5.67
2026-08-01T11:25:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5350,5351,TARGET,1,41,0.41,2.9
2026-08-01T11:27:00Z,APX-4417K2,Apex,MES,LONG,1,5305,5304.33,STOP,-0.67,-41.88,2.89,4.21
2026-08-01T11:55:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5305,5304.16,ZONE_INVALID,-0.84,-34.44,3.83,2.94
2026-08-04T03:13:00Z,LT-ON5X6Q58,Lucid,MNQ,LONG,1,5346,5347.98,TARGET,1.98,81.18,1.21,7.62
2026-08-04T04:12:00Z,APX-4417K2,Apex,MES,SHORT,2,5348,5346.38,TARGET,1.62,101.25,0.64,6.91
2026-08-04T05:32:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,1,5327,5324.93,TARGET,2.07,84.87,0.98,7.51
2026-08-04T06:01:00Z,APX-4417K2,Apex,MES,SHORT,2,5348,5348.39,STOP,-0.39,-24.38,3.02,2.4
2026-08-04T06:12:00Z,LT-ON5X6Q58,Lucid,MNQ,SHORT,3,5355,5353.36,TARGET,1.64,67.24,1.55,3.68
2026-08-04T06:38:00Z,APX-4417K2,Apex,MES,SHORT,1,5338,5338.47,ADVERSE_TAPE,-0.47,-29.38,4.5,3.23
